step,epsilon,team_avg,team_avg_ma,agent0_avg,agent0_avg_ma,agent1_avg,agent1_avg_ma,agent2_avg,agent2_avg_ma,agent0_task0,agent0_task0_ma,agent0_task1,agent0_task1_ma,agent0_task2,agent0_task2_ma,agent0_task3,agent0_task3_ma,agent0_task4,agent0_task4_ma,duration_ms,comm_mb,spdcmp_calls,sedtp_calls,max_q_diff
0,0.750000,0.466667,0.466667,0.200000,0.200000,0.600000,0.600000,0.600000,0.600000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10618.822000,272.574203,12,37,0.000000
1,0.615000,0.600000,0.533333,0.600000,0.400000,0.600000,0.600000,0.600000,0.600000,0.000000,0.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.500000,0.000000,0.000000,10370.761000,272.574203,12,37,0.000000
2,0.504300,0.533333,0.533333,0.000000,0.266667,0.800000,0.666667,0.800000,0.666667,0.000000,0.000000,0.000000,0.666667,0.000000,0.333333,0.000000,0.333333,0.000000,0.000000,10116.474000,272.574203,12,37,0.000000
3,0.413526,0.733333,0.583333,0.600000,0.350000,0.600000,0.650000,1.000000,0.750000,1.000000,0.250000,0.000000,0.500000,1.000000,0.500000,1.000000,0.500000,0.000000,0.000000,10054.946000,272.574203,12,37,0.000000
4,0.339091,0.866667,0.640000,0.800000,0.440000,0.800000,0.680000,1.000000,0.800000,1.000000,0.400000,1.000000,0.600000,0.000000,0.400000,1.000000,0.600000,1.000000,0.200000,10055.449000,272.574203,12,37,0.000000
5,0.278055,0.800000,0.706667,0.600000,0.520000,1.000000,0.760000,0.800000,0.840000,1.000000,0.600000,0.000000,0.400000,1.000000,0.600000,1.000000,0.800000,0.000000,0.200000,10210.670000,272.574203,12,37,0.000000
6,0.228005,0.933333,0.773333,1.000000,0.600000,1.000000,0.840000,0.800000,0.880000,1.000000,0.800000,1.000000,0.400000,1.000000,0.600000,1.000000,0.800000,1.000000,0.400000,10385.782000,272.574203,12,37,0.000000
7,0.186964,0.800000,0.826667,0.400000,0.680000,1.000000,0.880000,1.000000,0.920000,0.000000,0.800000,0.000000,0.400000,1.000000,0.800000,1.000000,1.000000,0.000000,0.400000,10377.899000,272.574203,12,37,0.000000
