epoch,epsilon,team_return,team_return_ma,greedy_team_return,agent0_return,agent0_return_ma,agent1_return,agent1_return_ma,agent2_return,agent2_return_ma,agent0_task0_return,agent0_task0_return_ma,agent0_task1_return,agent0_task1_return_ma,agent0_task2_return,agent0_task2_return_ma,agent0_task3_return,agent0_task3_return_ma,agent0_task4_return,agent0_task4_return_ma,duration_ms
34,0.050000,15.066667,17.422667,18.16,13.68,17.564,15.86,17.056,15.66,17.648,19.7,15.54,19.4,19.06,19.8,19.8,-10,13.92,19.5,19.5,0
35,0.050000,19.7,17.833333,17.773333,19.66,17.628,19.86,18.24,19.58,17.632,19.7,15.62,19.4,19.3,19.8,19.8,19.9,13.92,19.5,19.5,0
36,0.050000,19.24,18.668,19.726667,18.2,18.136,19.86,19.04,19.66,18.828,19.7,19.62,19.4,19.3,19.8,19.8,12.6,12.46,19.5,19.5,0
37,0.050000,19.646667,18.658667,19.726667,19.5,18.104,19.78,19.044,19.66,18.828,19.7,19.62,18.6,19.14,19.8,19.8,19.9,12.46,19.5,19.5,0
38,0.050000,17.72,18.274667,18.166667,19.56,18.12,13.94,17.86,19.66,18.844,19.7,19.7,18.9,19.14,19.8,19.8,19.9,12.46,19.5,19.5,0
39,0.050000,19.666667,19.194667,19.726667,19.58,19.3,19.86,18.66,19.56,19.624,19.7,19.7,19,19.06,19.8,19.8,19.9,18.44,19.5,19.5,0
40,0.050000,19.7,19.194667,19.726667,19.66,19.3,19.86,18.66,19.58,19.624,19.7,19.7,19.4,19.06,19.8,19.8,19.9,18.44,19.5,19.5,0
41,0.050000,19.673333,19.281333,19.726667,19.5,19.56,19.86,18.66,19.66,19.624,19.7,19.7,19.4,19.06,19,19.64,19.9,19.9,19.5,19.5,0
42,0.050000,19.66,19.284,19.726667,19.56,19.572,19.76,18.656,19.66,19.624,19.7,19.7,19.4,19.22,19.3,19.54,19.9,19.9,19.5,19.5,0
43,0.050000,19.633333,19.666667,19.726667,19.56,19.572,19.68,19.804,19.66,19.624,19.7,19.7,19.4,19.32,19.3,19.44,19.9,19.9,19.5,19.5,0
44,0.050000,19.606667,19.654667,17.733333,19.56,19.568,19.6,19.752,19.66,19.644,19.2,19.6,19.4,19.4,19.8,19.44,19.9,19.9,19.5,19.5,0
45,0.050000,19.613333,19.637333,19.726667,19.58,19.552,19.6,19.7,19.66,19.66,19.3,19.52,19.4,19.4,19.8,19.44,19.9,19.9,19.5,19.5,0
46,0.050000,19.72,19.646667,19.726667,19.74,19.6,19.86,19.7,19.56,19.64,19.7,19.52,19.4,19.4,19.8,19.6,19.9,19.9,19.9,19.58,0
47,0.050000,19.726667,19.66,19.753333,19.66,19.62,19.86,19.72,19.66,19.64,19.7,19.52,19.4,19.4,19.8,19.7,19.9,19.9,19.5,19.58,0
48,0.050000,19.726667,19.678667,19.753333,19.74,19.656,19.86,19.756,19.58,19.624,19.7,19.52,19.4,19.4,19.8,19.8,19.9,19.9,19.9,19.66,0
49,0.050000,19.72,19.701333,18.166667,19.64,19.672,19.86,19.808,19.66,19.624,19.2,19.52,19.4,19.4,19.8,19.8,19.9,19.9,19.9,19.74,0
50,0.050000,19.6,19.698667,17.773333,19.74,19.704,19.68,19.824,19.38,19.568,19.7,19.6,19.4,19.4,19.8,19.8,19.9,19.9,19.9,19.82,0
51,0.050000,19.72,19.698667,19.753333,19.64,19.684,19.86,19.824,19.66,19.588,19.2,19.5,19.4,19.4,19.8,19.8,19.9,19.9,19.9,19.82,0
52,0.050000,19.753333,19.704,19.753333,19.74,19.7,19.86,19.824,19.66,19.588,19.7,19.5,19.4,19.4,19.8,19.8,19.9,19.9,19.9,19.9,0
53,0.050000,16.393333,19.037333,19.753333,15.74,18.9,19.86,19.824,13.58,18.388,19.7,19.5,19.4,19.4,-0.2,15.8,19.9,19.9,19.9,19.9,0
54,0.050000,19.653333,19.024,19.753333,19.64,18.9,19.86,19.824,19.46,18.348,19.7,19.6,19.4,19.4,19.3,15.7,19.9,19.9,19.9,19.9,0
55,0.050000,19.753333,19.054667,19.753333,19.74,18.9,19.86,19.86,19.66,18.404,19.7,19.6,19.4,19.4,19.8,15.7,19.9,19.9,19.9,19.9,0
56,0.050000,19.64,19.038667,18.16,19.66,18.904,19.6,19.808,19.66,18.404,19.7,19.7,19.4,19.4,19.8,15.7,19.5,19.82,19.9,19.9,0
57,0.050000,16.54,18.396,16.566667,19.64,18.884,19.86,19.808,10.12,16.496,19.7,19.7,19.4,19.4,19.3,15.6,19.9,19.82,19.9,19.9,0
58,0.050000,18.073333,18.732,16.193333,14.96,18.728,19.86,19.808,19.4,17.66,19.7,19.7,19.4,19.4,19.8,19.6,-4,15.04,19.9,19.9,0
59,0.050000,18.093333,18.42,18.133333,19.58,18.716,19.86,19.808,14.84,16.736,19.7,19.7,19.4,19.4,19.8,19.7,19.1,14.88,19.9,19.9,0
60,0.050000,17.826667,18.034667,17.773333,19.66,18.7,19.86,19.808,13.96,15.596,19.7,19.7,19.4,19.4,19.8,19.7,19.5,14.8,19.9,19.9,0
61,0.050000,17.82,17.670667,16.206667,19.66,18.7,19.86,19.86,13.94,14.452,19.7,19.7,19.4,19.4,19.8,19.7,19.5,14.8,19.9,19.9,0
62,0.050000,19.33659595546154,19.048948308196362,18.106667,19.58,18.688,19.86,19.86,19.123062425443464,19.43541477845768,19.7,19.7,19.4,19.4,19.8,19.8,19.1,18.89038933575637,19.9,19.9,19.271290659937677
63,0.050000,19.29771025865232,19.213454210391944,19.361300661210578,19.58,19.612,19.78,19.844,19.307917921109087,19.223661872848712,19.7,19.7,19,19.32,19.8,19.8,19.5,19.34,19.9,19.9,19.49684534254337
64,0.050000,19.20621762303925,18.998857893049184,19.12919816213157,19.073653013945396,18.664,19.86,19.844,18.92982901908915,18.584990873273924,19.7,19.7,18.9,19.22,19.8,19.8,19.221881248439608,19.1496134870451,19.9,19.9,19.475062762701448
65,0.050000,18.056645484667573,19.408362381257284,19.392411848340377,19.044942113871194,19.386005366959612,19.76,19.824,19.254612922880153,19.0289880130575,19.7,19.7,19.4,19.22,19.8,19.8,19.233869535305477,19.49577142488946,19.9,19.9,18.91185667734214
66,0.050000,18.451010571071418,18.319063832666288,19.18273747143463,19.18550896085124,19.560686065890213,19.76,19.804,19.31643004162071,18.395436664296053,19.7,19.7,19.4,19.22,19.8,19.8,19.102674312099197,19.023988735314454,19.9,19.9,19.56641352566258
